User,Tag,Action,Target,Time,ObjectId
147.46.74.45,budget,select,___________Ê,1.41075E+12,
147.46.74.45,budget,select,___Ê,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,service,select,_____ __(__________),1.41075E+12,
147.46.240.236,service,moreinfo,_____ __(__________),1.41075E+12,
147.46.240.236,service,moreinfo,_____ __(__________),1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,budget,select,___Ê,1.41075E+12,
147.46.240.236,service,select,______,1.41075E+12,
147.46.240.236,service,select,_____________,1.41075E+12,
147.46.240.236,service,select,__.________,1.41075E+12,
147.46.240.236,service,moreinfo,______,1.41075E+12,
147.46.240.236,budget,select,__Ê,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.87,issue,deselect,__ __,1.41075E+12,
147.46.240.236,budget,select,______Ê,1.41075E+12,
147.46.240.236,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,select,"_____ ___ ____(_____,_____)-0",1.41075E+12,
147.46.240.87,budget,select,______Ê,1.41075E+12,
147.46.240.87,budget,select,______Ê,1.41075E+12,
147.46.240.87,budget,select,____Ê,1.41075E+12,
147.46.240.236,service,moreinfo,"_____ ___ ____(_____,_____)-0",1.41075E+12,
211.210.90.7,issue,deselect,__ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ___ ___ __ ____(__2_~_____ _)",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ ___ __ ____(__2_~_____ _)",1.41075E+12,
23.227.160.2,service,update,___ ___ __ ____(__2_~_____ _),1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, _____ __ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, _____ __ __",1.41075E+12,
23.227.160.2,service,update,_____ __ __,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ___ _____ __á__",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
23.227.160.2,issue,connect,"__ __, ___ _____ __á__",1.41075E+12,
23.227.160.2,service,update,___ _____ __á__,1.41075E+12,
23.227.160.2,explore,unrelated,"__ __, ______ __",1.41075E+12,
23.227.160.2,issue,update,__ __,1.41075E+12,
